timestamp,R_99
1579369118,20.87
1579369119,44.89
1579369120,56.16
1579369121,44.99
1579369122,52.53
1579369123,51.02
1579369124,47.78
1579369125,50.63
1579369126,51.18
1579369127,19.69
1579369128,55.02
1579369129,17.25
1579369130,56.52
1579369131,25.51
1579369132,14.52
1579369133,57.87
1579369134,61.15
1579369135,49.74
1579369136,54.82
1579369137,60.26
1579369138,14.22
1579369139,50.1
1579369140,59.15
1579369141,59.02
1579369142,48.79
1579369143,57.38
1579369144,18.09
1579369145,59.24
1579369146,59.41
1579369147,44.7
1579369148,42.7
1579369149,54.17
1579369150,12.03
1579369151,18.76
1579369152,22.87
1579369153,49.51
1579369154,56.66
1579369155,29.61
1579369156,47.55
1579369157,58.69
1579369158,18.07
1579369159,18.84
1579369160,59.18
1579369161,42.07
1579369162,27.21
1579369163,54.95
1579369164,47.64
1579369165,47.87
1579369166,38.63
1579369167,28.8
1579369168,22.46
1579369169,40.6
1579369170,55.38
1579369171,20.71
1579369172,55.48
1579369173,21.64
1579369174,18.89
1579369175,60.19
1579369176,42.63
1579369177,60.0
1579369178,45.68
1579369179,49.25
1579369180,18.15
1579369181,62.03
1579369182,53.74
1579369183,59.24
1579369184,55.05
1579369185,51.25
1579369186,20.02
1579369187,46.01
1579369188,40.08
1579369189,51.38
1579369190,56.82
1579369191,39.32
1579369192,54.56
1579369193,56.23
1579369194,45.19
1579369195,18.12
1579369196,25.43
1579369197,47.09
1579369198,55.31
1579369199,22.28
1579369200,65.08
1579369201,23.9
1579369202,42.47
1579369203,54.69
1579369204,68.16
1579369205,65.47
1579369206,60.88
1579369207,61.08
1579369208,44.24
1579369209,79.1
1579369210,53.44
1579369211,54.49
1579369212,52.56
1579369213,59.8
1579369214,46.3
1579369215,59.24
1579369216,19.15
1579369217,57.05
1579369218,24.22
1579369219,18.28
1579369220,25.76
1579369221,60.06
1579369222,53.54
1579369223,49.38
1579369224,49.74
1579369225,63.77
1579369226,68.68
1579369227,50.0
1579369228,49.09
1579369229,17.84
1579369230,53.08
1579369231,47.55
1579369232,51.77
1579369233,25.97
1579369234,22.89
1579369235,33.33
1579369236,18.2
1579369237,43.42
1579369238,54.53
1579369239,57.28
1579369240,22.81
1579369241,61.41
1579369242,41.84
1579369243,16.15
1579369244,73.53
1579369245,44.5
1579369246,54.53
1579369247,47.91
1579369248,49.55
1579369249,67.44
1579369250,46.3
1579369251,73.53
1579369252,59.6
1579369253,62.62
1579369254,60.33
1579369255,64.0
1579369256,47.84
1579369257,32.44
1579369258,68.03
1579369259,62.91
1579369260,59.41
1579369261,53.41
1579369262,69.07
1579369263,61.51
1579369264,49.02
1579369265,71.43
1579369266,78.38
1579369267,68.16
1579369268,61.57
1579369269,43.68
1579369270,48.59
1579369271,49.64
1579369272,52.33
1579369273,56.85
1579369274,47.48
1579369275,56.82
1579369276,50.79
1579369277,54.13
1579369278,54.33
1579369279,60.29
1579369280,51.51
1579369281,54.79
1579369282,47.28
1579369283,62.0
